0.0 0.0	0 0
3.71 0.1438768	4.27837e-16 0.143877
3.7199999999999998 0.1470166	1.36e-15 0.147017
3.73 0.1501564	4.23927e-15 0.150156
3.74 0.1532962	1.29581e-14 0.153296
3.75 0.156436	3.88413e-14 0.156436
3.76 0.1599748	1.14171e-13 0.159975
3.7699999999999996 0.1635136	3.29099e-13 0.163514
3.78 0.1670524	9.30289e-13 0.167052
3.79 0.1705912	2.57889e-12 0.170591
3.8 0.17413	7.01097e-12 0.17413
3.8099999999999996 0.1782298	1.86922e-11 0.17823
3.82 0.1823296	4.88748e-11 0.18233
3.83 0.1864294	1.25332e-10 0.186429
3.84 0.1905292	3.15207e-10 0.190529
3.85 0.194629	7.77495e-10 0.194629
3.86 0.19952419999999998	1.88094e-09 0.199524
3.87 0.2044194	4.4631e-09 0.204419
3.88 0.2093146	1.0387e-08 0.209315
3.8899999999999997 0.2142098	2.37111e-08 0.21421
3.9 0.219105	5.30919e-08 0.219105
3.9099999999999997 0.22518359999999998	1.16609e-07 0.225184
3.92 0.2312622	2.51232e-07 0.231262
3.9299999999999997 0.2373408	5.30972e-07 0.237341
3.94 0.2434194	1.10087e-06 0.243421
3.95 0.249498	2.23914e-06 0.2495
3.96 0.2575556	4.46815e-06 0.25756
3.9699999999999998 0.2656132	8.74762e-06 0.265622
3.98 0.2736708	1.6803e-05 0.273688
3.99 0.2817284	3.16695e-05 0.28176
4.0 0.289786	5.85695e-05 0.289845
4.01 0.3011752	0.000106293 0.301281
4.02 0.31256439999999996	0.000189304 0.312754
4.029999999999999 0.32395359999999995	0.00033088 0.324284
4.04 0.3353428	0.000567628 0.33591
4.05 0.346732	0.000955811 0.347688
4.06 0.3631984	0.0015799 0.364778
4.069999999999999 0.37966479999999997	0.00256374 0.382229
4.08 0.3961312	0.00408456 0.400216
4.09 0.4125976	0.00638982 0.418987
4.1 0.429064	0.00981642 0.43888
4.109999999999999 0.45247919999999997	0.0148112 0.46729
4.119999999999999 0.4758944	0.0219512 0.497846
4.13 0.49930959999999996	0.0319609 0.53127
4.140000000000001 0.5227248	0.0457237 0.568449
4.15 0.54614	0.0642837 0.610424
4.16 0.5789906	0.0888343 0.667825
4.17 0.6118412	0.12069 0.732531
4.18 0.6446918	0.161238 0.80593
4.19 0.6775424000000001	0.211876 0.889418
4.2 0.710393	0.273925 0.984318
4.21 0.7557928	0.348535 1.10433
4.22 0.8011926	0.436587 1.23778
4.23 0.8465924	0.538589 1.38518
4.24 0.8919922	0.654604 1.5466
4.25 0.937392	0.784185 1.72158
4.26 0.9968456	0.926357 1.9232
4.27 1.0562992	1.07963 2.13593
4.279999999999999 1.1157528	1.24207 2.35782
4.29 1.1752064	1.41137 2.58658
4.3 1.23466	1.585 2.81966
4.31 1.305974	1.76034 3.06631
4.319999999999999 1.377288	1.93482 3.31211
4.33 1.448602	2.10608 3.55468
4.34 1.5199159999999998	2.27206 3.79198
4.35 1.59123	2.43111 4.02234
4.359999999999999 1.668784	2.58203 4.25081
4.369999999999999 1.746338	2.72406 4.4704
4.38 1.823892	2.8569 4.68079
4.390000000000001 1.901446	2.9806 4.88205
4.4 1.979	3.09555 5.07455
4.41 2.0553500000000002	3.20238 5.25773
4.42 2.1317	3.30186 5.43356
4.43 2.20805	3.39485 5.6029
4.44 2.2843999999999998	3.48222 5.76662
4.45 2.36075	3.56484 5.92559
4.46 2.4294759999999997	3.64349 6.07297
4.47 2.498202	3.71887 6.21707
4.48 2.566928	3.7916 6.35853
4.49 2.635654	3.8622 6.49785
4.5 2.70438	3.9311 6.63548
4.51 2.762954	3.99866 6.76161
4.52 2.8215280000000003	4.06516 6.88669
4.529999999999999 2.880102	4.13084 7.01094
4.54 2.938676	4.19589 7.13457
4.55 2.99725	4.26047 7.25772
4.56 3.047348	4.32469 7.37204
4.569999999999999 3.097446	4.38867 7.48612
4.58 3.147544	4.4525 7.60004
4.59 3.197642	4.51625 7.71389
4.6 3.24774	4.58 7.82774
4.609999999999999 3.294626	4.64381 7.93844
4.619999999999999 3.341512	4.70772 8.04923
4.63 3.388398	4.7718 8.1602
4.640000000000001 3.435284	4.83607 8.27135
4.65 3.48217	4.90058 8.38275
4.66 3.532716	4.96536 8.49808
4.67 3.583262	5.03045 8.61371
4.68 3.633808	5.09588 8.72969
4.69 3.684354	5.16169 8.84604
4.7 3.7349	5.2279 8.9628
4.71 3.791996	5.29454 9.08654
4.72 3.849092	5.36165 9.21074
4.73 3.906188	5.42926 9.33545
4.74 3.9632840000000003	5.49737 9.46065
4.75 4.02038	5.56603 9.58641
4.76 4.080830000000001	5.63524 9.71607
4.77 4.14128	5.70501 9.84629
4.779999999999999 4.20173	5.77537 9.9771
4.79 4.26218	5.84632 10.1085
4.8 4.32263	5.91789 10.2405
4.81 4.38388	5.99009 10.374
4.819999999999999 4.44513	6.06295 10.5081
4.83 4.50638	6.13648 10.6429
4.84 4.567629999999999	6.21072 10.7783
4.85 4.62888	6.28569 10.9146
4.859999999999999 4.6917	6.36141 11.0531
4.869999999999999 4.75452	6.43791 11.1924
4.88 4.81734	6.51519 11.3325
4.890000000000001 4.88016	6.59326 11.4734
4.9 4.94298	6.67214 11.6151
4.91 5.007094	6.75183 11.7589
4.92 5.071208	6.83232 11.9035
4.93 5.135322	6.91364 12.049
4.94 5.199436	6.99578 12.1952
4.95 5.26355	7.07876 12.3423
4.96 5.326256	7.16259 12.4888
4.97 5.388962	7.24729 12.6363
4.98 5.451668	7.33287 12.7845
4.99 5.514374	7.41935 12.9337
5.0 5.57708	7.50673 13.0838
5.01 5.57708	7.59502 13.1721
5.02 5.503212477811676	7.68421 13.1874
5.029999999999999 5.430323319002441	7.77427 13.2046
5.04 5.358399565307637	7.86519 13.2236
5.05 5.287428430092746	7.95694 13.2444
5.06 5.217397296080136	8.04947 13.2669
5.069999999999999 5.148293713105981	8.14275 13.291
5.08 5.080105395906856	8.23674 13.3168
5.09 5.012820221935679	8.3314 13.3442
5.1 4.9464262292065255	8.4267 13.3731
5.109999999999999 4.880911614168043	8.52262 13.4035
5.12 4.816264729605004	8.61912 13.4354
5.13 4.7524740825676774	8.71618 13.4687
5.14 4.689528332328574	8.81376 13.5033
5.1499999999999995 4.6274162883663115	8.91185 13.5393
5.16 4.566126908376149	9.01039 13.5765
5.17 4.505649296306898	9.10936 13.615
5.18 4.445972700423792	9.2087 13.6547
5.1899999999999995 4.3870865113970545	9.30837 13.6955
5.2 4.328980260415763	9.40832 13.7373
5.21 4.271643617326714	9.50851 13.7802
5.22 4.215066388797897	9.60889 13.824
5.2299999999999995 4.159238516506343	9.70944 13.8687
5.24 4.104150075349933	9.81014 13.9143
5.25 4.049791271682938	9.91098 13.9608
5.26 3.996152441574868	10.012 14.0082
5.27 3.9432240490924304	10.1132 14.0564
5.279999999999999 3.890996684604228	10.2146 14.1056
5.29 3.8394610631079034	10.3162 14.1557
5.3 3.7886080225794685	10.4182 14.2068
5.31 3.7384285223444436	10.5206 14.259
5.319999999999999 3.688913641470628	10.6235 14.3124
5.33 3.6400545771821182	10.7268 14.3669
5.34 3.5918426432943655	10.8308 14.4226
5.35 3.544269268669918	10.9355 14.4798
5.359999999999999 3.497325995694657	11.041 14.5383
5.37 3.4510044787741903	11.1474 14.5984
5.38 3.405296482850184	11.2548 14.6601
5.39 3.360193881936309	11.3634 14.7236
5.3999999999999995 3.3156886576736126	11.4734 14.7891
5.41 3.2717728979050062	11.5849 14.8567
5.42 3.2284387952686533	11.6983 14.9267
5.43 3.1856786458099484	11.8137 14.9994
5.4399999999999995 3.143484847611925	11.9315 15.075
5.45 3.10184989944377	12.052 15.1538
5.46 3.060766399427272	12.1755 15.2363
5.47 3.0202270437208862	12.3022 15.3224
5.4799999999999995 2.9802246252212723	12.4325 15.4127
5.49 2.940752032282003	12.5666 15.5074
5.5 2.9018022474492686	12.7047 15.6065
5.51 2.8633683462142883	12.8469 15.7103
5.52 2.825443495782283	12.9931 15.8185
5.529999999999999 2.7880209538577363	13.1432 15.9312
5.54 2.7510940674457403	13.2968 16.0479
5.55 2.7146562716692384	13.4534 16.1681
5.56 2.678701088601899	13.6124 16.2911
5.57 2.6432221261164752	13.7727 16.4159
5.58 2.6082130767484233	13.9332 16.5414
5.59 2.573667716574535	14.0928 16.6665
5.6 2.539579904106462	14.2501 16.7897
5.609999999999999 2.5059435791988753	14.4036 16.9095
5.62 2.472752761972087	14.552 17.0248
5.63 2.4400015517489577	14.6939 17.1339
5.64 2.4076841260058517	14.8282 17.2359
5.6499999999999995 2.3757947393375214	14.9539 17.3297
5.66 2.3443277224356787	15.0703 17.4146
5.67 2.313277481081113	15.1771 17.4904
5.68 2.2826384951491367	15.2742 17.5568
5.6899999999999995 2.252405317628221	15.3616 17.614
5.7 2.222572573651621	15.44 17.6626
5.71 2.1931349595418412	15.51 17.7031
5.72 2.164087241867728	15.5725 17.7366
5.7299999999999995 2.1354242565140784	15.6284 17.7638
5.74 2.107140907763558	15.6787 17.7858
5.75 2.0792321673907916	15.7246 17.8038
5.76 2.0516930737684276	15.7669 17.8186
5.77 2.024518730985068	15.8066 17.8311
5.779999999999999 1.9977043079748695	15.8446 17.8423
5.79 1.971245037658673	15.8814 17.8526
5.8 1.9451362160965155	15.9178 17.8629
5.81 1.9193732016513545	15.9542 17.8736
